4E9C (亜): アジア,次のランク,後に来ます,〜の特徴を持ちます | Asia,rank next,come after,-ous
8CE2 (賢): インテリジェント,賢いです,知恵,賢さ | intelligent,wise,wisdom,cleverness
8ED2 (軒): フラット,住宅用カウンター,ひさし | flats,counter for houses,eaves
9063 (遣): ディスパッチ,急送,送信,与える,寄付します,行う,undertale | dispatch,despatch,send,give,donate,do,undertake
9375 (鍵): キー | key
967A (険): 険しいです,険しいです,険しいです,険しいです,鋭い目 | precipitous,inaccessible place,impregnable position,steep place,sharp eyes
9855 (顕): 現れる,既存の | appear,existing
9A13 (験): 検証,効果,検査 | verification,effect,testing
9E78 (鹸): 塩味 | saltiness
5143 (元): 開始,前者の時間,原点 | beginning,former time,origin
539F (原): 牧草地,元の,プリミティブ,フィールド,平野,草原,ツンドラ,荒野 | meadow,original,primitive,field,plain,prairie,tundra,wilderness
53B3 (厳): 船尾,厳密性,重症度,剛性 | stern,strictness,severity,rigidity
5E7B (幻): ファンタズム,ビジョン,夢,錯覚,幻影 | phantasm,vision,dream,illusion,apparition
5F26 (弦): 弦,コード,斜辺 | bowstring,chord,hypotenuse
6E1B (減): 弱り衰えます,減少,減らします,低下,削減します,空腹になります | dwindle,decrease,reduce,decline,curtail,get hungry
6E90 (源): ソース,原点 | source,origin
7384 (玄): 神秘的な,オカルティズム,黒,深い,深遠 | mysterious,occultness,black,deep,profound
