4E9C (亜): アジア,次のランク,後に来ます,〜の特徴を持つ | Asia,rank next,come after,-ous
81A0 (膠): のり,雲母 | glue,isinglass
8195 (膕): 膝の中空 | hollow of knee
81A4 (膤): 雪 | snow,(kokuji)
81A3 (膣): 膣 | vagina
815F (腟): 膣 | vagina
8193 (膓): ガッツ,腸,腸,内臓 | guts,bowels,intestines,viscera
81A9 (膩): スムーズ,オイリー | smooth,oily
81B0 (膰): 神への供物 | offerings to gods
81B5 (膵): 膵臓 | pancreas,(kokuji)
81BE (膾): 生の魚のサラダ | raw fish salad
81B8 (膸): 骨髄,髄 | marrow,pith
81BD (膽): 胆嚢,勇気,勇気 | gall bladder,bravery,courage
81C0 (臀): 臀部,ヒップ,尻,リア | buttocks,hips,butt,rear
81C2 (臂): 肘 | elbow
81BA (膺): 乳,ストライク | breast,strike
81C9 (臉): 目と頬の間の領域,面 | area between eye and cheek,face
81CD (臍): へそ | navel
81D1 (臑): 脚,すね | leg,shin
81D9 (臙): ルージュ | rouge
81D8 (臘): 第12太陰月 | 12th lunar month
81C8 (臈): 年末の犠牲,乾燥肉 | year-end sacrifice,dried meat
81DA (臚): 肌,伝える,報告する | skin,tell,report
81DF (臟): 内臓,腸 | viscera,bowels
81E0 (臠): 証人 | witness
81E7 (臧): 良い,賄賂,サーバント | good,bribe,servant
81FA (臺): スタンド,車のためのカウンタ | stand,counter for vehicles
81FB (臻): 到着する,リーチ,ギャザー | arrive,reach,gather
81FE (臾): 暫く,促する | a little while,urging
8201 (舁): くま,キャリー | bear,carry
8202 (舂): ポンド（モルタル）,シンク,セット（日） | pound (mortar),sink,set (sun)
8205 (舅): 義父 | father-in-law
8207 (與): 参加する,与える,賞,伝える,提供する,原因 | participate in,give,award,impart,provide,cause
820A (舊): 昔の事,古くからの友人,昔,前者,EX- | old things,old friend,old times,former,ex-
820D (舍): 宿,小屋,家,マンション | inn,hut,house,mansion
8210 (舐): なめる,なめ尽くする,燃え尽く,味,受けます,過小評価されました,軽蔑する | lick,lap up,burn up,taste,undergo,underrate,despise
8216 (舖): ショップ,格納 | shop,store
8229 (舩): ボート,船,容器 | boat,ship,vessel
822B (舫): 原野,バース | moor,berth
8238 (舸): 大型ボート | large boat
8233 (舳): 弓,船首 | bow,prow
8240 (艀): サンパン,ライター,はしけ | sampan,lighter,barge
8259 (艙): ホールド（船） | hold (ship)
8258 (艘): 小型ボート用のカウンタ | counter for small boats
825D (艝): そり,そり | sled,sleigh,(kokuji)
825A (艚): ボート | boat
825F (艟): 船の戦い | fighting ship
8264 (艤): ボートを上陸 | landing a boat
8262 (艢): 弓,船尾 | bow,stern
8268 (艨): 船の戦い | fighting ship
826A (艪): オール,タワー | oar,tower
826B (艫): 弓,船首,船尾 | bow,prow,stern
822E (舮): 弓と船の船首 | bow or prow of boat
8271 (艱): 難しい,しよう,憂える,親の葬儀式典,喪,危険な | difficult,trying,be distressed,parent\'s funeral ceremony,mourning,perilous
8277 (艷): 光沢,釉薬,研磨,チャーム,カラフル,魅惑的な | luster,glaze,polish,charm,colorful,captivating
8278 (艸): 草,植物 | grass,plants,grass radical (no. 140)
827E (艾): もぐさ,ヤマヨモギ,ヨモギ,ヨモギ | moxa,sagebrush,wormwood,mugwort
828D (芍): 牡丹 | peony
8292 (芒): シロガネヨシ,髭（穀物） | pampas grass,beard (grain)
82AB (芫): ベッチの種類 | type of vetch
829F (芟): カット,クリップ,トリム,収穫,刈る | cut,clip,trim,harvest,mow
82BB (芻): 芻,干し草 | grass cutting,hay
82AC (芬): 香水 | perfume
82E1 (苡): ハトムギ,オオバコ | adlay,plantain
82E3 (苣): トーチ | torch
82DF (苟): どれか,まったく,分厘 | any,at all,in the least
82D2 (苒): 繁栄しています,華麗な | flourishing,luxuriant
82F4 (苴): 殻,苞葉,藁苞,お土産,賄賂 | husk,bract,straw wrapper,souvenir gift,bribe
82F3 (苳): 蕗,湿原のルバーブ | butterbur,bog rhubarb
82FA (苺): イチゴ | strawberry
8393 (莓): 野イチゴ | wild strawberry
8303 (范): 蜂,法律,鋳型 | bee,law,casting mould
82FB (苻): クズのような植物 | kudzu-like plant
82F9 (苹): ウキクサ,ヨモギ | duckweed,mugwort
82DE (苞): 殻,苞葉,藁苞,お土産,賄賂 | husk,bract,straw wrapper,souvenir gift,bribe
8306 (茆): 庭園,ファーム,ヤード | garden,farm,yard
82DC (苜): クローバー,衛生兵 | clover,medic
8309 (茉): ジャスミン | jasmine
82D9 (苙): ハーブの種類,豚舎 | type of herb,pigsty
8335 (茵): クッション,マットレス | cushion,mattress
8334 (茴): フェンネル | fennel
8316 (茖): 山のネギ,ニンニク | mountain leek,garlic
8332 (茲): ここに | here
8331 (茱): 川のジンジャーツリー,グミ | river ginger tree,oleaster
8340 (荀): 植物の種類,固有名詞 | type of plant,proper name
8339 (茹): 沸騰,沸き返る | boil,seethe
8350 (荐): マット,繰り返して | mat,repeatedly
8345 (荅): 小豆,厚い | adzuki beans,thick
832F (茯): キノコの種類 | type of mushroom
832B (茫): ワイド,広範囲 | wide,extensive
8317 (茗): お茶 | tea
8318 (茘): 春タマネギ,小タマネギ | scallion,small onion
8385 (莅): に進んでください,就任 | proceed to,assume a post
839A (莚): 筵 | straw mat
83AA (莪): アザミの種類 | type of thistle
839F (莟): つぼみ（植物） | bud (plant)
83A2 (莢): ポッド,船体,殻,シェル,場合 | pod,hull,husk,shell,case
8396 (莖): 幹,茎 | stem,stalk
8323 (茣): マット,マット | mat,matting
838E (莎): スゲ | sedge
8387 (莇): 枸杞,publicフィールドを耕し,賦役,姓 | Chinese matrimony vine,tilling public fields,corvee,surname
838A (莊): ほうき | broom
837C (荼): 雑草 | a weed
83B5 (莵): よろめく（植物） | dodder (plant)
8373 (荳): 豆,ナツメグ | bean,nutmeg
8375 (荵): ウサギの足のシダ | hare\'s foot fern
83A0 (莠): 良く見えるが不良,米に似ている雑草の種類 | appears good but is bad,type of weed which resembles rice
8389 (莉): ジャスミン | jasmine
83A8 (莨): タバコ | tobacco
83F4 (菴): 庵 | hermitage
8413 (萓): カンゾウ | day lily
83EB (菫): バイオレット | the violet
83CE (菎): 香り豊かなハーブの種類 | a kind of fragrant herb
83FD (菽): 豆 | beans
8403 (萃): 収集する,ギャザー,アセンブル | collect,gather,assemble
83D8 (菘): レイプ植物の種類 | type of rape plant
840B (萋): 繁茂,綺麗な | luxuriant growth,beautiful
83C1 (菁): カブ | turnip
83F7 (菷): ほうき | broom
8407 (萇): 植物の種類 | type of plant
83E0 (菠): ほうれん草 | spinach
83F2 (菲): 薄い,劣る | thin,inferior
840D (萍): 浮遊植物 | floating plants
8422 (萢): 湿原,湿原,固有名詞で使用 | bog,wetlands,used in proper names,(kokuji)
8420 (萠): のショーの症状,もやし,芽,麦芽 | show symptoms of,sprout,bud,malt
83BD (莽): 草,草原 | grass,grassy field
8438 (萸): グミ,川のジンジャーツリー | oleaster,river ginger tree
8506 (蔆): ヒシ | water chestnut
83FB (菻): アザミの種類 | kind of thistle
846D (葭): リード | reed
842A (萪): 藤の種類 | type of wisteria
843C (萼): 萼,カップ | calyx,cup
855A (蕚): 萼,カップ | calyx,cup
8484 (蒄): 植物の種類 | type of plant
8477 (葷): ニンニク | garlic
846B (葫): ニンニク | garlic
84AD (蒭): 草をカットする,干し草,飼料 | to cut grass,hay,fodder
846E (葮): ムクゲ,アルテア | rose of Sharon,althea
8482 (蒂): 花柄,植物の茎 | peduncle,stem of plants
8469 (葩): 花,花弁 | flower,petal
8446 (葆): 高密度増殖,キープ,付着する,隠す | dense growth,keep,adhere to,conceal
842C (萬): 万,10,000 | ten thousand,10,000
846F (葯): 雄しべの先端の花粉ポッド,背の高い草の種類 | pollen pod at tip of stamen,type of tall grass
8479 (葹): オナモミ | cocklebur
8435 (萵): レタス | lettuce
84CA (蓊): 花柄,力強い成長 | flower stalk,vigorous growth
8462 (葢): カバー,蓋,フラップ | cover,lid,flap
84B9 (蒹): リードのタイプ | type of reed
84BF (蒿): ヨモギ | mugwort
849F (蒟): 悪魔の舌（植物） | devil\'s tongue (plant)
84D9 (蓙): マット,マット | mat,matting,(kokuji)
84CD (蓍): ノコギリソウ,sericea,占いのために使用される茎 | yarrow,sericea,stalks used for divination
84BB (蒻): 水生植物の種類 | a kind of water plant
84DA (蓚): （化合物のみで使用） | (used only in compounds)
84D0 (蓐): ベッド | bed
84C1 (蓁): 高密度増殖,茂み | dense growth,thicket
84C6 (蓆): 筵,マット | straw mat,matting
84D6 (蓖): トウゴマ | castor-oil plant
84A1 (蒡): ゴボウ | burdock
8521 (蔡): 占いに使用するカメの種類 | type of tortoise used for divination
84FF (蓿): クローバー,衛生兵 | clover,medic
84F4 (蓴): 水生植物の種類 | type of water plant
8517 (蔗): サトウキビ | sugar cane
8518 (蔘): 草の豪華な成長 | luxurious growth of grass
852C (蔬): 菜,野菜 | greens,vegetables
851F (蔟): 集まる | gather together
8515 (蔕): 萼,幹 | calyx,stem
8514 (蔔): 巨大大根,大根 | giant radish,daikon
84FC (蓼): 豪華な草,蓼 | luxurious grass,a smartweed
8540 (蕀): milwort | milwort
8563 (蕣): ムクゲ,アルテア | rose of Sharon,althea
8558 (蕘): 薪 | firewood
8548 (蕈): キノコ,毒キノコ,菌 | mushroom,toadstool,fungus
8541 (蕁): 草の種類 | a kind of grass
8602 (蘂): 雌しべ,雄しべ | pistil,stamen
854B (蕋): 雌しべ,雄しべ | pistil,stamen
8555 (蕕): 悪臭の草 | foul-smelling grass
8580 (薀): 積み上げる,格納,ツノゴケ類 | pile up,store,hornwort
85A4 (薤): 春タマネギ,エシャロット | scallion,shallot
8588 (薈): 豊かな植生 | luxuriant vegetation
8591 (薑): 生姜 | ginger
858A (薊): アザミ | thistle
85A8 (薨): 死にます | die
856D (蕭): 雑草,ヨモギ,寂しい,サイレント,穏やかな | a weed,mugwort,lonely,silent,calm
8594 (薔): 草の種類 | a kind of grass
859B (薛): ヨモギの種類 | type of mugwort
85EA (藪): 茂み,ブッシュ,やぶ,木立 | thicket,bush,underbrush,grove
8587 (薇): 食用シダ | an edible fern
859C (薜): つるの種類 | type of vine
8577 (蕷): ポテト | potato
857E (蕾): 芽（植物,キノコはまだ開いていません） | bud (plants, mushrooms not yet opened)
8590 (薐): ほうれん草 | spinach
85C9 (藉): カーペット,貸する,かりて,言い訳する,広がる | carpet,lend,borrow,make excuses,spread out
85BA (薺): 水、栗,ハマビシ | water-chestnuts,caltrop
85CF (藏): 隠す,自分の,持ってる,所有する | hide,own,have,possess
85B9 (薹): シードポッド | seed pod
85D0 (藐): 蔑ろにする,遠く,綺麗な | make light of,far away,beautiful
85D5 (藕): 蓮,レンコン,クズウコン | lotus,lotus root,arrowroot
85DD (藝): アート,クラフト,パフォーマンス,演技,トリック,スタント | art,craft,performance,acting,trick,stunt
85E5 (藥): 医学,化学物質,エナメル,火薬,利益 | medicine,chemical,enamel,gunpowder,benefit
85DC (藜): アカザ,野生のホウレンソウ | goosefoot,wild spinach
85F9 (藹): 繁栄しています,華麗な,ハーモナイズ,優美な,ノーブル,洗練されました | flourishing,luxuriant,harmonize,graceful,noble,refined
860A (蘊): 積み上げる | pile up
8613 (蘓): 甦る,蘇生,復活 | be resurrected,resuscitated,revived
860B (蘋): ウキクサ | duckweed
85FE (藾): ヨモギの種類,カバー,隠す | type of mugwort,cover,hide
85FA (藺): ラッシュ,畳カバーするために使用,姓 | rush, used for tatami covers,surname
8606 (蘆): リード,ラッシュ | reed,rush
8622 (蘢): ドラゴン草 | dragon grass
861A (蘚): モス | moss
8630 (蘰): 姓 | surname,(kokuji)
863F (蘿): ツタ | ivy
864D (虍): 虎スポット,まだらの | tiger spots,mottled,tiger or tiger crown radical (no. 141)
4E55 (乕): 虎,勇敢な,激しい,姓 | tiger,brave,fierce,surname
8654 (虔): 尊敬 | respect
865F (號): マーク,符号,シンボル,数 | mark,sign,symbol,number
8667 (虧): 衰退（月） | wane (moon)
8671 (虱): 虱,害虫 | lice,vermin
8693 (蚓): ミミズ | earthworm
86A3 (蚣): 百足,バッタ | centipede,grasshopper
86A9 (蚩): ばか,の愚か者を作る | fool,make a fool of
86AA (蚪): オタマジャクシ | tadpole
868B (蚋): ブヨ,サシチョウバエ | gnat,sand fly
868C (蚌): アサリ | clam
86B6 (蚶): 赤貝 | ark shell
86AF (蚯): ミミズ | earthworm
86C4 (蛄): ケラ,蝉 | mole cricket,cicada
86C6 (蛆): ワーム,グラブ,蛆虫 | worm,grub,maggot
86B0 (蚰): ヤスデ | millipede
86C9 (蛉): トンボ,ムーン蛾 | dragonfly,moon moth
8823 (蠣): カキ | oyster
86AB (蚫): アワビ,干物,姓 | abalone,dried fish,surname
86D4 (蛔): 腸内寄生虫 | intestinal worms
86DE (蛞): スラグの種類 | kind of slug
86E9 (蛩): クリケット | cricket
86EC (蛬): クリケット | cricket
86DF (蛟): ドラゴン | dragon
86DB (蛛): クモ | spider
86EF (蛯): エビ | shrimp,(kokuji)
8712 (蜒): 蛇行,サーペンタイン | meandering,serpentine
8706 (蜆): しじみ | fresh-water clam
8708 (蜈): 百足 | centipede
8700 (蜀): 芋虫,四川 | green caterpillar,Szechwan
8703 (蜃): アサリ | clam
86FB (蛻): 昆虫の脱皮 | insect moulting
8711 (蜑): 卵 | egg
8709 (蜉): アリの種類,カゲロウ | kind of ant,may fly
870D (蜍): ヒキガエル | toad
86F9 (蛹): 蛹,蛹 | chrysalis,pupa
870A (蜊): 二枚貝の一種 | a kind of bivalve
8734 (蜴): トカゲ | lizard
873F (蜿): 蛇行 | meandering
8737 (蜷): 食用川のカタツムリ | an edible river snail
873B (蜻): トンボ | dragonfly
8725 (蜥): トカゲ | a lizard
8729 (蜩): 明確なトーンの蝉 | clear-toned cicada
871A (蜚): 甲虫,ゴキブリ | beetle,cockroach
8760 (蝠): コウモリ | bat
875F (蝟): ハリネズミ | hedgehog
8778 (蝸): カタツムリ | snail
874C (蝌): オタマジャクシ | tadpole
874E (蝎): サソリ | scorpion
8774 (蝴): バタフライ | butterfly
8757 (蝗): イナゴ | locust
8768 (蝨): 虱,害虫 | lice,vermin
876E (蝮): まむし,加算器,ASP | viper,adder,asp
8759 (蝙): コウモリ | bat
8753 (蝓): ナメクジ,カタツムリ | slug,snail
8763 (蝣): カゲロウ | mayfly
876A (蝪): トカゲ | lizard
8805 (蠅): 飛ぶ | fly
87A2 (螢): ホタル | firefly
879F (螟): 有害寄生虫 | injurious parasite
8782 (螂): カマキリ | mantis
87AF (螯): 爪 | claws
87CB (蟋): クリケット,バッタ | cricket,grasshopper
87BD (螽): バッタ | grasshopper
87C0 (蟀): クリケット,バッタ | cricket,grasshopper
87D0 (蟐): ヒキガエル,カマキリ | toad,mantis,(kokuji)
96D6 (雖): しかし,しかしながら | although,however
87AB (螫): ハチ刺され | bee sting
87C4 (蟄): 昆虫の冬眠 | hibernation of insects
87B3 (螳): カマキリ | mantis
87C7 (蟇): ヒキガエル | toad
87C6 (蟆): ヒキガエル | toad
87BB (螻): ケラ | mole cricket
87EF (蟯): 腸内寄生虫 | intestinal worm
87F2 (蟲): 昆虫,バグ,気性 | insect,bug,temper
87E0 (蟠): 巻き上げ | coiled up
880F (蠏): カニ | crab
880D (蠍): サソリ | scorpion
87FE (蟾): ヒキガエル | toad
87F6 (蟶): 蟶貝 | razor clam
87F7 (蟷): カマキリ | mantis
880E (蠎): パイソン,ボア・コンストリクター | python,boa constrictor
87D2 (蟒): ボア・コンストリクター,パイソン | boa constrictor,python
8811 (蠑): イモリ,サザエ | newt,turban shell
8816 (蠖): シャクトリムシ,幾何 | inchworm,geometer
8815 (蠕): ワームのクロール | crawling of a worm
8822 (蠢): リグル | wriggle
8821 (蠡): 虫に食われました,巻き貝 | worm-eaten,conch
8831 (蠱): 米ワーム,惑わせます | rice worm,lead astray
8836 (蠶): カイコ | silkworms
8839 (蠹): 蛾,血塊に食べる虫 | moth,insects which eat into clot
8827 (蠧): 虫に食われました | worm-eaten
883B (蠻): 野蛮人 | barbarian
8844 (衄): 鼻血 | nosebleed
8842 (衂): 鼻血 | nosebleed
8852 (衒): 見せびらかす,表示,装う | show off,display,pretend
8859 (衙): 役所 | government office
885E (衞): 防衛 | defense
8862 (衢): 交差点 | crossroads
886B (衫): 薄い着物 | thin kimono
8881 (袁): 長い着物 | long kimono
887E (衾): キルト,寝具 | quilt,bedding
889E (袞): 袞龍 | imperial robes
8875 (衵): 日常の衣類,下着 | everyday clothing,underwear
887D (衽): 衣服の首,ガセット,ゴア | neck of a garment,gusset,gore
88B5 (袵): 衣服の首,ガセット,ゴア | neck of a garment,gusset,gore
8872 (衲): 修理,斎服,祭司 | mend,priestly vestments,priest
8882 (袂): スリーブ,（丘の）足,エッジ | sleeve,foot (of hill),edge
8897 (袗): 薄い着物,刺繍 | thin kimono,embroidery
8892 (袒): 肩をむき出し,腰へのストリップ | baring the shoulder,strip to waist
88AE (袮): 先祖の神社,刺繍 | ancestral shrine,embroidery
8899 (袙): 戦士のヘッドバンド | warrior\'s headband
88A2 (袢): 夏の着物,短い服 | summer kimono,short clothing
888D (袍): コート | coat
88A4 (袤): 長さ | length
88B0 (袰): フード,上,オーニング,カバー | hood,top,awning,cover,(kokuji)
88BF (袿): 古代普通の着物 | ancient ordinary kimono
88B1 (袱): クロスラッパー | cloth wrapper
88C3 (裃): 古い儀式の服装,武士の服装 | old ceremonial garb,samurai garb,(kokuji)
88C4 (裄): 袖丈 | sleeve length,(kokuji)
88D4 (裔): 子孫,境界 | descendant,border
88D8 (裘): 革の服 | leather clothing
88D9 (裙): 裾,下着 | hem,underwear
88DD (裝): ドレス,装う,変装,公言する | dress,pretend,disguise,profess
88F9 (裹): ラップ,荷造りする,カバー,隠す | wrap,pack up,cover,conceal
8902 (褂): 古代普通の着物 | ancient ordinary kimono
88FC (裼): 肩を露出する | to bare the shoulder
88F4 (裴): 長いローブ | long robes
88E8 (裨): 助けて | help
88F2 (裲): 古代のローブ | ancient robe
8904 (褄): スカート | skirt,(kokuji)
890C (褌): 褌 | loincloth
890A (褊): 狭い,小さい | narrow,small
8913 (褓): おむつ | diaper
8943 (襃): 賞賛,褒めそやする | praise,extol
891E (褞): ローブ | robe
8925 (褥): クッション,マットレス,寝具 | cushion,mattress,bedding
892A (褪): フェード,褪せます | fade,discolour
892B (褫): 奪う | rob
8941 (襁): おむつ | diaper
8944 (襄): 上昇,レイズ | rise,raise
893B (褻): 不潔な | filthy
8936 (褶): 襞 | pleats
8938 (褸): 古着 | rags
894C (襌): 薄い着物,下着 | thin kimono,undergarment
891D (褝): 薄い着物,下着 | thin kimono,undergarment
8960 (襠): ガセット,ゴア | gusset,gore
895E (襞): プリーツ,折り畳む,タック,折り目 | pleat,fold,tuck,crease
8966 (襦): 下着 | underwear
8964 (襤): 古着 | rags
896D (襭): 1 \ 'sの帯にタック | tuck into one\'s obi
896A (襪): 靴下 | socks
896F (襯): 下着 | underwear
8974 (襴): 布の種類 | a kind of cloth
8977 (襷): 袖を保持するためのコード | cord to hold up sleeves,(kokuji)
897E (襾): カバー,の上に置く | cover,place on top of,west radical variant (no. 146)
8983 (覃): 延長する,深い,大 | extend,deep,large
8988 (覈): 調査する | investigate
898A (覊): 手綱,接続 | reins,connection
8993 (覓): シーク | seek
8998 (覘): のぞき,ピーク | peep,peek
89A1 (覡): 占い師,ミディアム | diviner,medium
89A9 (覩): 見る | see
89A6 (覦): 高ランクを垂涎 | coveting high rank
89AC (覬): 高ランクを垂涎 | coveting high rank
89AF (覯): 満たすために起こって | happening to meet
89B2 (覲): 見る,謁する | see,have an audience with
89BA (覺): 暗記する | memorize
89BD (覽): 見る,検査する,気付く | look at,inspect,perceive
89BF (覿): 大会,見る | meet,see
89C0 (觀): 見通し,見ます,外観,調子,ビュー | outlook,look,appearance,condition,view
89DA (觚): カップ | cup
89DC (觜): 嘴,ビル | beak,bill
89DD (觝): タッチ,感じます,と衝突,との競合 | touch,feel,collide with,conflict with
89E7 (觧): ノート,キー,説明,理解 | notes,key,explanation,understanding
89F4 (觴): カップ | cup
89F8 (觸): タッチ,感じます,ヒット,宣言する,アナウンス,紛争,接触 | touch,feel,hit,proclaim,announce,conflict,contact
8A03 (訃): 死亡記事 | obituary
8A16 (訖): 終わる,リーチ,到着する,最後に | come to an end,reach,arrive at,finally
8A10 (訐): 漏らする,明らかにする | divulge,reveal
8A0C (訌): 面食らう | get confused
8A1B (訛): アクセント,方言 | accent,dialect
8A1D (訝): 疑問に思う | doubt
8A25 (訥): スタッター | stutter
8A36 (訶): 叱る | scold
8A41 (詁): 釈義,古典的なテキストの批判的分析 | exegesis,critical analysis of classical texts
8A5B (詛): 呪い | curse
8A52 (詒): 欺く,カンニング,与える,残す | deceive,cheat,give,leave behind
8A46 (詆): けなする,非難する | vilify,denounce
8A48 (詈): 冷やかし | ridicule
8A7C (詼): 冗談 | jest
8A6D (詭): うそ,欺く | lie,deceive
8A6C (詬): 冷やかし | ridicule
8A62 (詢): に相談する | consult with
8A85 (誅): 死刑 | death penalty
8A82 (誂): 注文 | order
8A84 (誄): 悔み状 | condolence message
8AA8 (誨): 指示する | instruct
8AA1 (誡): 戒める,警告する,禁止する | admonish,warn,prohibit
8A91 (誑): カンニング,同軸ケーブル | cheat,coax
8AA5 (誥): 状態,指示を与える | state,give instructions
8AA6 (誦): 暗唱する,聖歌 | recite,chant
8A9A (誚): 酷評,非難 | censure,blame
8AA3 (誣): 中傷 | slander
8AC4 (諄): 退屈な | tedious
8ACD (諍): けんか | quarrel
8AC2 (諂): 平坦 | flatter
8ADA (諚): コマンド | command,(kokuji)
8AEB (諫): 戒める,説得 | admonish,dissuade
8AF3 (諳): 暗記する,諳んじます | memorize,recite from memory
8AE7 (諧): 調和 | harmony
8AE4 (諤): 真実を話する | speaking the truth
8AF1 (諱): 死後（実際の）名前 | posthumous (real) name
8B14 (謔): とスポーツ | sport with
8AE0 (諠): 忘れる,うるさい | forget,noisy
8AE2 (諢): 冗談で,冗談,口語の | joke,jest,colloquial
8AF7 (諷): ヒント,風刺する | hint,satirize
8ADE (諞): お世辞の,饒舌 | flattering,glibness
8ADB (諛): 平坦 | flatter
8B0C (謌): 歌う,暗唱する,キャロル,詩,短歌,中傷,誹謗する | sing,recite,carol,poem,tanka,slander,defame
8B07 (謇): スタッター,単刀直入 | stutter,speak frankly
8B1A (謚): 笑い | laughing
8AE1 (諡): 戒名 | posthumous name
8B16 (謖): 発生する | arise
8B10 (謐): 静か | quiet
8B17 (謗): 中傷,軽んじる,酷評,批判する | slander,disparage,censure,criticize
8B20 (謠): 聖歌（特に能楽）,フォークソング,バラード | chant (esp. Noh),folksong,ballad
8B33 (謳): 褒めそやする,宣言する,表現する | extol,declare,express
97AB (鞫): 犯罪を捜査する | investigate a crime
8B26 (謦): 咳嗽 | coughing
8B2B (謫): 犯罪 | crime
8B3E (謾): 軽蔑する | despise
8B28 (謨): 計画,意図的な | plan,deliberate
8B41 (譁): うるさい | noisy
8B4C (譌): アクセント,方言 | accent,dialect
8B4F (譏): 中傷,軽んじる,酷評,批判する | slander,disparage,censure,criticize
8B4E (譎): 欺く | deceive
8B49 (證): 証明,証拠,証明書,証言する,確認する,保証,証人 | proof,evidence,certificate,testify,verify,guarantee,witness
8B56 (譖): 中傷 | slander
8B5B (譛): 中傷,冤罪 | slander,false accusation
8B5A (譚): トーク | talk
8B6B (譫): せん妄の話 | delirious talk
8B5F (譟): シャウト,うるさいこと | shout,be noisy
8B6C (譬): 説明する | illustrate
8B6F (譯): 翻訳する,デコード,エンコード | translate,decode,encode
8B74 (譴): 非難 | reproach
8B7D (譽): 名声,評判,賞賛 | fame,reputation,praise
8B80 (讀): 読む,調査,発音する | read,study,pronounce
8B8C (讌): バンケット | banquet
8B8E (讎): 敵,復讐 | enemy,revenge
8B92 (讒): 名誉毀損 | defamation
8B93 (讓): 許可する,許可,産出,認める | allow,permit,yield,concede
8B96 (讖): 前兆 | omen
8B99 (讙): うるさい,論争好きな | noisy,disputatious
8B9A (讚): 賞賛,絵のタイトル | praise,picture title
8C3A (谺): 木の精神 | tree spirit
8C41 (豁): 空の | empty
8C3F (谿): 谷 | valley
8C48 (豈): 驚きの間投詞 | an interjection of surprise
8C4C (豌): エンドウ | pea
8C4E (豎): 垂直,子 | vertical,child
8C50 (豐): 豊富な,優れた,リッチ | bountiful,excellent,rich
8C55 (豕): 豚,豚 | pig,hog,pig radical (no. 152)
8C62 (豢): 家畜を上げる | raising domestic animals
8C6C (豬): 豚,豚 | pig,hog
8C78 (豸): ヘビ,フラフラになった昆虫 | snake,legless insect,badger or clawed dog radical (no. 153)
8C7A (豺): ジャッカル | jackal
8C82 (貂): テン,クロテン | marten,sable
8C89 (貉): 狸 | badger
8C85 (貅): 勇敢な紋章獣 | brave heraldic beast
8C8A (貊): 野蛮人 | barbarians
8C8D (貍): キツネのような動物 | a fox-like animal
8C8E (貎): ライオン,野獣,野生の馬 | lion,wild beast,wild horse
8C94 (貔): 勇敢な紋章獣 | brave heraldic beast
8C7C (豼): 勇敢な紋章獣 | brave heraldic beast
8C98 (貘): バク | tapir
621D (戝): 海賊,泥棒 | pirate,thief
8CAD (貭): 問題,材料,物質 | matter,material,substance
8CAA (貪): 切望する,貪る | covet,indulge in
8CBD (貽): 残す,贈り物 | leave behind,gift
8CB2 (貲): 宝,資産,罰金を払う | treasure,assets,pay a fine
8CB3 (貳): 二 | two
8CAE (貮): ナンバー2 | number two
8CB6 (貶): 分解する | degrade
8CC8 (賈): 購入,商人 | buy,tradesman
8CC1 (賁): 飾る | decorate
8CE4 (賤): 軽蔑する,低ライフ,貧困 | despise,low-life,poverty
8CE3 (賣): 売る,裏切る,見せびらかす | sell,betray,show off
8CDA (賚): 贈り物 | gift
8CFD (賽): サイコロ,参詣 | dice,temple visit
8CFA (賺): 同軸ケーブル | coax
8CFB (賻): 香典 | condolence gift
8D04 (贄): 募集,犠牲 | offering,sacrifice
8D05 (贅): 贅沢 | luxury
8D0A (贊): 助けて,サポート,支援する,援助 | help,support,assist,aid
8D07 (贇): 綺麗な | beautiful
8D0F (贏): 勝利,余剰 | victory,surplus
8D0D (贍): 満喫,追加 | have enough of,add to
8D10 (贐): プレゼントを離れて行く,餞別 | going away present,parting gift
9F4E (齎): 持って来ます,取る,引き起こする | bring,take,bring about
8D13 (贓): 贈収賄 | bribery
8CCD (賍): 贈収賄 | bribery
8D14 (贔): 力,パワー | strength,power
8D16 (贖): 買い戻する | redeem
8D67 (赧): 赤の取得 | get red
8D6D (赭): 赤 | red
8D71 (赱): 歩く,歩いていく,ラン,残する | walk,go on foot,run,leave
8D73 (赳): 強く、勇敢な | strong and brave
8D81 (趁): に行く,続く | go to,follow
8D99 (趙): 軽快,後期進行 | nimble,late-going
8DC2 (跂): つま先で立つ | stand on tiptoes
8DBE (趾): フットプリント,遺跡 | footprint,remains
8DBA (趺): 足,萼,蓮華座に座っ | foot,calyx,sitting in the lotus position
8DCF (跏): 蓮華座に座っ | sitting in the lotus position
8DDA (跚): よろめき,リール,つまずく | stagger,reel,stumble
8DD6 (跖): 足の裏 | sole of the foot
8DCC (跌): つまずく | stumble
8DDB (跛): ラメ,跛行,奇数靴 | lame,lameness,odd shoe
8DCB (跋): エピローグ,追記 | epilogue,postscript
8DEA (跪): ひざまずく | kneel
8DEB (跫): 足音 | sound of footsteps
8DDF (跟): ヒール | heel
8DE3 (跣): はだしで | barefooted
8DFC (跼): 弓,猫背,腰をかがめる,しゃがむ | bow,stoop,bend over,crouch
8E08 (踈): ネグレクト,不注意な,緩い | neglect,careless,lax
8E09 (踉): よろめき,つまずく | stagger,falter
8DFF (跿): 裸足 | barefoot
8E1D (踝): 足首 | ankle
8E1E (踞): しゃがむ,縮こまる | crouch,cower
